487,458,607,1458786522.86
488,463,608,1458786523.07
486,468,610,1458786523.3
477,471,607,1458786523.5
471,468,610,1458786523.71
476,471,616,1458786523.92
477,477,615,1458786524.12
483,470,612,1458786524.32
487,467,615,1458786524.53
489,470,615,1458786524.76
491,474,615,1458786524.96
493,477,617,1458786525.16
493,477,617,1458786525.38
493,479,617,1458786525.59
493,478,617,1458786525.79
493,478,619,1458786526.01
495,479,618,1458786526.21
495,480,617,1458786526.43
489,480,618,1458786526.67
498,483,622,1458786526.9
494,483,621,1458786527.13
496,479,616,1458786527.35
489,466,640,1458786527.57
494,475,620,1458786527.79
501,476,615,1458786528.01
494,466,620,1458786528.22
491,473,610,1458786528.45
483,461,606,1458786528.66
487,464,627,1458786528.87
501,475,598,1458786529.08
503,460,590,1458786529.27
494,477,590,1458786529.47
491,462,616,1458786529.67
490,467,616,1458786529.87
485,469,613,1458786530.07
486,468,616,1458786530.26
489,470,609,1458786530.46
488,470,620,1458786530.66
489,476,606,1458786530.86
481,464,623,1458786531.05
477,466,601,1458786531.25
476,457,606,1458786531.45
489,470,610,1458786531.65
488,467,621,1458786531.84
488,461,593,1458786532.04
487,459,608,1458786532.24
486,455,609,1458786532.44
487,458,608,1458786532.63
487,458,606,1458786532.83
486,457,607,1458786533.03
487,457,608,1458786533.23
487,457,608,1458786533.43
486,457,607,1458786533.62
486,457,607,1458786533.82
486,457,607,1458786534.02
487,457,607,1458786534.22
487,456,607,1458786534.42
487,457,607,1458786534.61
486,457,608,1458786534.81
486,457,607,1458786535.01
486,457,607,1458786535.21
487,457,607,1458786535.4
486,457,607,1458786535.6
486,457,607,1458786535.8
486,457,607,1458786536.0
486,457,607,1458786536.2
486,457,607,1458786536.39
486,457,607,1458786536.59
486,457,607,1458786536.79
486,457,607,1458786536.99
486,457,607,1458786537.19
486,458,607,1458786537.38
487,457,607,1458786537.58
486,458,607,1458786537.78
486,461,604,1458786537.98
486,460,617,1458786538.17
474,469,577,1458786538.37
475,447,643,1458786538.57
513,468,668,1458786538.77
503,510,547,1458786538.97
485,479,617,1458786539.16
485,480,618,1458786539.36
478,483,614,1458786539.56
480,488,618,1458786539.76
489,491,616,1458786539.95
502,483,620,1458786540.15
487,487,622,1458786540.35
489,493,604,1458786540.55
470,484,618,1458786540.74
479,489,610,1458786540.94
481,490,617,1458786541.14
488,494,621,1458786541.34
488,493,619,1458786541.54
488,494,622,1458786541.74
487,492,619,1458786541.93
485,492,615,1458786542.13
480,491,619,1458786542.33
466,483,641,1458786542.53
484,487,607,1458786542.72
482,486,622,1458786542.92
480,489,614,1458786543.12
481,491,615,1458786543.32
479,490,619,1458786543.52
480,491,614,1458786543.71
479,490,619,1458786543.91
479,491,616,1458786544.11
480,490,619,1458786544.31
479,491,616,1458786544.5
480,491,618,1458786544.7
479,491,616,1458786544.9
480,491,617,1458786545.1
479,491,616,1458786545.29
480,491,615,1458786545.49
479,491,616,1458786545.69
480,491,615,1458786545.89
480,491,617,1458786546.09
481,491,615,1458786546.28
479,491,616,1458786546.48
480,491,615,1458786546.68
479,490,616,1458786546.88
479,491,618,1458786547.07
480,491,614,1458786547.27
481,491,615,1458786547.47
480,491,616,1458786547.67
480,492,616,1458786547.87
479,491,617,1458786548.06
479,491,617,1458786548.26
479,491,616,1458786548.46
479,491,616,1458786548.66
478,491,617,1458786548.85
480,490,614,1458786549.05
476,487,619,1458786549.25
478,488,614,1458786549.45
477,490,616,1458786549.64
480,492,618,1458786549.84
480,493,619,1458786550.04
480,493,616,1458786550.24
478,494,617,1458786550.44
480,497,616,1458786550.63
479,496,618,1458786550.83
478,497,618,1458786551.03
479,496,617,1458786551.23
478,496,619,1458786551.42
480,495,617,1458786551.62
480,495,617,1458786551.82
479,495,618,1458786552.02
480,495,618,1458786552.21
480,494,618,1458786552.41
479,494,618,1458786552.61
480,494,616,1458786552.81
480,495,618,1458786553.01
480,495,618,1458786553.2
479,494,617,1458786553.4
480,495,617,1458786553.6
482,495,618,1458786553.8
479,494,617,1458786553.99
478,496,618,1458786554.19
480,494,617,1458786554.39
478,494,618,1458786554.59
479,494,617,1458786554.78
479,496,617,1458786554.98
479,495,618,1458786555.18
482,495,608,1458786555.38
473,491,616,1458786555.58
475,493,618,1458786555.77
477,491,613,1458786555.97
476,491,616,1458786556.17
