522,561,537,440,1460341878.21
521,562,538,440,1460341878.33
508,561,537,440,1460341878.51
536,562,538,442,1460341878.63
517,562,537,440,1460341878.68
517,563,538,440,1460341878.87
536,561,536,440,1460341878.92
523,561,538,440,1460341879.03
498,562,537,440,1460341879.17
530,561,537,440,1460341879.22
485,561,537,440,1460341879.28
526,562,536,439,1460341879.34
551,563,536,440,1460341879.39
502,563,538,441,1460341879.45
534,561,537,441,1460341879.5
504,562,536,441,1460341879.56
519,562,537,440,1460341879.61
521,562,537,440,1460341879.7
501,560,537,441,1460341879.79
505,561,536,441,1460341880.08
499,561,536,440,1460341880.19
527,562,537,441,1460341880.31
494,562,537,440,1460341880.41
525,562,536,440,1460341880.52
534,562,537,441,1460341880.61
477,561,537,441,1460341880.67
508,562,537,440,1460341880.73
562,562,537,440,1460341880.78
497,561,537,441,1460341880.88
517,562,537,441,1460341881.04
508,561,537,440,1460341881.11
503,561,536,440,1460341881.17
503,561,537,440,1460341881.22
548,562,537,440,1460341881.28
484,561,537,439,1460341881.34
498,561,537,440,1460341881.39
518,562,536,440,1460341881.45
477,562,537,440,1460341881.53
500,563,538,440,1460341881.63
546,561,536,440,1460341881.69
494,562,537,440,1460341881.75
484,561,536,440,1460341881.84
540,561,536,441,1460341881.95
509,561,537,441,1460341882.01
534,561,538,440,1460341882.1
581,562,537,439,1460341882.16
507,561,537,441,1460341882.24
498,561,537,440,1460341882.32
523,561,537,440,1460341882.38
463,561,538,440,1460341882.46
486,561,537,438,1460341882.52
525,561,537,440,1460341882.59
484,561,538,441,1460341882.74
542,563,538,440,1460341882.83
548,561,536,440,1460341882.93
546,561,536,441,1460341883.04
533,561,538,440,1460341883.09
545,562,538,441,1460341883.18
507,561,537,441,1460341883.24
499,561,537,441,1460341883.29
530,562,537,441,1460341883.34
519,562,537,440,1460341883.4
509,562,537,440,1460341883.45
567,561,537,440,1460341883.5
539,561,537,440,1460341883.56
502,561,537,440,1460341883.67
542,562,538,441,1460341883.73
533,561,537,440,1460341883.89
480,562,538,440,1460341884.0
534,562,538,440,1460341884.09
524,561,537,439,1460341884.2
496,561,537,441,1460341884.33
508,562,538,440,1460341884.4
543,562,537,440,1460341884.52
511,562,537,441,1460341884.59
494,562,537,441,1460341884.68
536,562,537,441,1460341884.77
475,562,537,440,1460341884.88
510,561,538,441,1460341885.04
521,561,537,441,1460341885.12
549,561,538,440,1460341885.19
519,561,537,441,1460341885.26
491,561,537,440,1460341885.32
499,562,538,441,1460341885.4
526,562,538,441,1460341885.46
491,561,537,441,1460341885.53
470,562,537,441,1460341885.59
489,562,537,440,1460341885.72
544,561,537,439,1460341885.89
517,561,538,441,1460341885.98
513,561,536,439,1460341886.14
531,561,537,440,1460341886.25
530,561,537,440,1460341886.34
461,562,537,440,1460341886.43
507,562,537,440,1460341886.51
507,561,538,440,1460341886.58
552,562,537,441,1460341886.64
494,562,537,440,1460341886.72
513,561,537,441,1460341886.78
538,562,537,441,1460341886.87
502,561,537,441,1460341886.96
483,561,538,441,1460341887.03
572,561,537,440,1460341887.09
433,562,537,441,1460341887.15
555,561,537,440,1460341887.22
505,561,538,440,1460341887.28
498,562,538,441,1460341887.42
524,562,538,440,1460341887.51
485,561,537,441,1460341887.58
534,561,537,439,1460341887.66
531,561,536,440,1460341887.77
471,562,537,440,1460341887.88
515,562,538,440,1460341887.99
541,561,537,440,1460341888.08
514,560,536,440,1460341888.16
487,561,538,440,1460341888.26
537,562,537,441,1460341888.34
426,561,537,441,1460341888.43
462,561,537,440,1460341888.5
453,562,538,441,1460341888.6
486,561,537,441,1460341888.67
526,562,538,442,1460341888.74
606,562,537,440,1460341888.82
552,562,538,439,1460341889.0
466,561,537,441,1460341889.11
592,562,537,441,1460341889.17
487,561,537,440,1460341889.23
487,563,537,440,1460341889.3
520,561,538,440,1460341889.37
531,562,538,440,1460341889.43
515,561,537,440,1460341889.49
524,561,538,440,1460341889.59
487,561,537,440,1460341889.68
644,562,537,441,1460341889.78
519,562,537,440,1460341889.91
396,562,538,440,1460341890.04
548,561,536,441,1460341890.12
406,562,537,441,1460341890.25
471,561,536,441,1460341890.32
615,562,536,440,1460341890.41
491,561,537,440,1460341890.48
434,562,538,440,1460341890.54
644,562,537,440,1460341890.69
369,561,537,440,1460341890.75
456,561,537,440,1460341890.82
542,562,537,441,1460341890.87
577,562,536,440,1460341890.94
462,562,537,440,1460341891.01
494,562,537,442,1460341891.08
521,561,537,440,1460341891.14
542,562,537,441,1460341891.22
494,562,537,441,1460341891.33
529,562,537,440,1460341891.49
521,561,536,441,1460341891.59
531,562,537,440,1460341891.67
521,561,537,440,1460341891.74
462,561,536,440,1460341891.84
560,562,538,441,1460341891.91
486,562,536,439,1460341891.98
513,562,537,440,1460341892.04
535,562,537,440,1460341892.11
569,562,538,439,1460341892.18
514,562,537,441,1460341892.24
512,562,536,440,1460341892.3
522,561,537,441,1460341892.37
554,562,537,439,1460341892.45
491,562,536,440,1460341892.51
459,561,537,440,1460341892.58
557,562,537,440,1460341892.68
514,562,537,439,1460341892.74
482,562,536,441,1460341892.81
520,561,537,440,1460341892.89
496,561,536,440,1460341892.96
542,561,538,441,1460341893.04
464,562,538,440,1460341893.11
521,562,537,441,1460341893.24
573,561,538,440,1460341893.33
527,562,538,440,1460341893.4
422,561,537,440,1460341893.47
614,562,537,440,1460341893.53
541,562,538,439,1460341893.62
525,561,537,441,1460341893.73
561,563,537,441,1460341893.82
474,561,538,441,1460341893.89
513,562,538,439,1460341894.13
523,561,537,441,1460341894.3
547,562,537,441,1460341894.49
508,561,538,440,1460341894.55
506,561,537,440,1460341894.74
483,561,538,441,1460341894.84
547,561,537,440,1460341895.03
